#tcid basin year tc month timestep lon lat vmax pmin rmw r18
2801 EP 50 0 8 0 -113.2441 19.0841 38.04 981.09 34.5 96.0
2801 EP 50 0 8 1 -113.64 19.5078 37.32 982.04 36.3 99.6
2801 EP 50 0 8 2 -114.0776 19.8841 36.63 982.91 38.1 103.2
2801 EP 50 0 8 3 -114.5771 20.1755 35.97 983.83 40.0 106.8
2801 EP 50 0 8 4 -115.0936 20.3966 35.33 984.66 41.8 110.4
2801 EP 50 0 8 5 -115.5774 20.5725 34.72 985.46 43.6 114.0
2801 EP 50 0 8 6 -116.0303 20.7214 34.12 986.35 45.5 117.6
2801 EP 50 0 8 7 -116.4569 20.886 33.54 987.1 47.3 121.2
2801 EP 50 0 8 8 -116.8411 21.0472 32.99 987.83 49.1 124.8
2801 EP 50 0 8 9 -117.168 21.2102 32.45 988.67 50.9 128.4
2801 EP 50 0 8 10 -117.483 21.3587 31.93 989.24 52.8 132.0
2801 EP 50 0 8 11 -117.8447 21.4771 31.42 989.91 54.6 135.6
2801 EP 50 0 8 12 -118.2169 21.5811 30.93 990.55 56.4 139.2
2801 EP 50 0 8 13 -118.591 21.6887 30.46 991.21 58.3 142.8
2801 EP 50 0 8 14 -118.9356 21.796 30.0 991.83 60.1 146.4
2801 EP 50 0 8 15 -119.2252 21.9051 29.55 992.42 61.9 150.0
2801 EP 50 0 8 16 -119.4841 22.0146 29.12 992.86 63.7 153.6
2801 EP 50 0 8 17 -119.7601 22.124 28.7 993.41 65.6 157.2
2801 EP 50 0 8 18 -119.9883 22.2333 28.29 994.0 67.4 160.8
2801 EP 50 0 8 19 -120.1282 22.3426 27.9 994.52 69.2 164.4
2801 EP 50 0 8 20 -120.2146 22.4519 27.51 994.9 71.1 168.0
2801 EP 50 0 8 21 -120.3973 22.5613 27.13 995.25 72.9 171.6
2801 EP 50 0 8 22 -120.5843 22.669 26.77 995.78 74.7 175.2
2801 EP 50 0 8 23 -120.7757 22.775 26.41 996.25 76.5 178.8
2802 EP 50 1 11 0 -158.5106 22.8195 47.67 963.53 29.3 110.2
2802 EP 50 1 11 1 -157.1706 23.5145 45.38 967.23 29.8 112.4
2802 EP 50 1 11 2 -155.9401 24.1129 43.31 970.65 30.3 114.7
2802 EP 50 1 11 3 -154.8325 24.6323 41.41 973.94 30.8 116.9
2802 EP 50 1 11 4 -153.7927 25.1332 39.68 976.68 31.2 119.1
2802 EP 50 1 11 5 -152.7303 25.6897 38.08 979.16 31.7 121.3
2802 EP 50 1 11 6 -151.6391 26.2811 36.61 981.4 32.2 123.5
2802 EP 50 1 11 7 -150.5639 26.8231 35.24 983.51 32.6 125.7
2802 EP 50 1 11 8 -149.4999 27.3536 33.98 985.4 33.1 128.0
2802 EP 50 1 11 9 -148.4432 27.8729 32.8 987.13 33.6 130.2
2802 EP 50 1 11 10 -147.3961 28.381 31.7 988.73 34.0 132.4
2802 EP 50 1 11 11 -146.3493 28.8788 30.67 990.2 34.5 134.6
2802 EP 50 1 11 12 -145.3106 29.3658 29.71 991.56 35.0 136.8
2802 EP 50 1 11 13 -144.2651 29.8434 28.81 992.81 35.4 139.0
2802 EP 50 1 11 14 -143.2258 30.31 27.96 993.95 35.9 141.3
2802 EP 50 1 11 15 -142.1723 30.7679 27.15 995.0 36.4 143.5
2802 EP 50 1 11 16 -141.1236 31.2153 26.4 996.0 36.8 145.7
2802 EP 50 1 11 17 -140.0544 31.6515 25.68 996.87 37.3 147.9
2802 EP 50 1 11 18 -138.9879 32.0738 25.0 997.66 37.8 150.1
2802 EP 50 1 11 19 -137.9242 32.4815 24.36 998.88 37.8 135.7
2802 EP 50 1 11 20 -136.8259 32.8767 23.75 999.95 37.8 123.0
2802 EP 50 1 11 21 -135.7282 33.2552 23.17 1000.91 37.8 111.8
2802 EP 50 1 11 22 -134.5913 33.6192 22.61 1001.81 37.8 101.8
2802 EP 50 1 11 23 -133.4539 33.9642 22.08 1002.56 37.8 92.9
2802 EP 50 1 11 24 -132.3153 34.2897 21.58 1003.2 37.8 85.0
2802 EP 50 1 11 25 -131.1291 34.596 21.1 1003.85 37.8 77.9
2802 EP 50 1 11 26 -129.9408 34.877 20.64 1004.24 37.8 71.5
2803 EP 50 2 7 0 -110.5115 15.9604 33.0 992.39 42.5 111.5
2803 EP 50 2 7 1 -110.9343 16.0614 31.98 993.52 43.6 119.3
2803 EP 50 2 7 2 -111.3828 16.1493 31.03 994.63 44.8 127.0
2803 EP 50 2 7 3 -111.8267 16.209 30.13 995.59 45.9 134.8
2803 EP 50 2 7 4 -112.2578 16.2557 29.28 996.49 47.1 142.6
2803 EP 50 2 7 5 -112.6495 16.3041 28.48 997.31 48.2 150.3
2803 EP 50 2 7 6 -113.0398 16.3514 27.72 998.06 49.4 158.1
2803 EP 50 2 7 7 -113.4582 16.3938 27.0 998.77 50.5 165.9
2803 EP 50 2 7 8 -113.904 16.451 26.32 999.42 51.7 173.7
2803 EP 50 2 7 9 -114.3796 16.5406 25.67 1000.02 52.8 181.4
2803 EP 50 2 7 10 -114.8715 16.6449 25.05 1000.69 54.0 189.2
2803 EP 50 2 7 11 -115.3607 16.7454 24.46 1001.85 54.0 175.1
2803 EP 50 2 7 12 -115.8503 16.8464 23.9 1002.97 54.0 161.4
2803 EP 50 2 7 13 -116.3359 16.9491 23.36 1004.02 54.0 149.0
2803 EP 50 2 7 14 -116.8215 17.0514 22.84 1005.01 54.0 137.8
2803 EP 50 2 7 15 -117.3081 17.1611 22.35 1006.09 54.0 127.7
2803 EP 50 2 7 16 -117.7965 17.2417 21.88 1006.97 54.0 118.4
2803 EP 50 2 7 17 -118.2871 17.2609 21.43 1007.82 54.0 110.1
2803 EP 50 2 7 18 -118.7897 17.2506 21.0 1008.63 54.0 102.5
2803 EP 50 2 7 19 -119.3261 17.2515 20.58 1009.4 54.0 95.5
2803 EP 50 2 7 20 -119.8428 17.237 20.18 1010.13 54.0 89.1
2803 EP 50 2 7 21 -120.3045 17.1949 19.8 1010.84 54.0 83.3
2803 EP 50 2 7 22 -120.7116 17.1383 19.43 1011.51 54.0 78.0
2803 EP 50 2 7 23 -121.0727 17.0854 19.07 1011.89 54.0 73.0
2803 EP 50 2 7 24 -121.389 17.0323 18.73 1012.5 54.0 68.5
2803 EP 50 2 7 25 -121.6938 16.9861 18.4 1013.08 54.0 64.3
2803 EP 50 2 7 26 -121.954 16.9393 18.08 1013.58 54.0 60.5
2803 EP 50 2 7 27 -122.1589 16.899 17.77 1014.11 54.0 56.9
