#tcid basin year tc month timestep lon lat vmax pmin rmw r18
0 NA 0 0 8 0 -54.9077 20.3579 60.29 931.08 24.0 322.1
0 NA 0 0 8 1 -55.6099 20.9341 58.8 933.91 25.2 316.7
0 NA 0 0 8 2 -56.3111 21.5408 57.38 936.55 26.3 311.4
0 NA 0 0 8 3 -56.9983 22.1818 56.03 939.33 27.5 306.1
0 NA 0 0 8 4 -57.7144 22.8237 54.74 941.66 28.6 300.8
0 NA 0 0 8 5 -58.4941 23.4299 53.51 943.92 29.8 295.4
0 NA 0 0 8 6 -59.3178 24.0065 52.34 946.01 31.0 290.1
0 NA 0 0 8 7 -60.1775 24.5479 51.21 947.99 32.1 284.8
0 NA 0 0 8 8 -61.0211 25.0894 50.13 949.93 33.3 279.4
0 NA 0 0 8 9 -61.7885 25.6729 49.1 951.88 34.5 274.1
0 NA 0 0 8 10 -62.5245 26.2723 48.11 953.58 35.6 268.8
0 NA 0 0 8 11 -63.3139 26.8489 47.16 955.14 36.8 263.5
0 NA 0 0 8 12 -64.0278 27.4552 46.24 956.67 37.9 258.1
0 NA 0 0 8 13 -64.6268 28.109 45.36 958.02 39.1 252.8
0 NA 0 0 8 14 -65.0312 28.8381 44.51 959.49 40.3 247.5
0 NA 0 0 8 15 -65.216 29.6493 43.69 960.72 41.4 242.2
0 NA 0 0 8 16 -65.2346 30.521 42.91 961.89 42.6 236.8
0 NA 0 0 8 17 -65.1873 31.42 42.15 962.95 43.8 231.5
0 NA 0 0 8 18 -65.1379 32.3038 41.41 963.89 44.9 226.2
0 NA 0 0 8 19 -65.2018 33.1402 40.71 964.71 46.1 220.8
0 NA 0 0 8 20 -65.3413 33.8867 40.02 965.58 47.2 215.5
0 NA 0 0 8 21 -65.5939 34.5081 39.36 966.43 48.4 210.2
0 NA 0 0 8 22 -65.7446 35.0696 38.72 967.12 49.6 204.9
0 NA 0 0 8 23 -65.6297 35.6229 38.1 967.89 50.7 199.5
0 NA 0 0 8 24 -65.248 36.2525 37.5 968.52 51.9 194.2
0 NA 0 0 8 25 -64.6678 37.0334 36.92 969.26 53.1 188.9
0 NA 0 0 8 26 -63.8513 37.9354 36.36 969.86 54.2 183.6
0 NA 0 0 8 27 -62.8967 38.8808 35.81 970.44 55.4 178.2
0 NA 0 0 8 28 -61.7547 39.9183 35.28 970.98 56.5 172.9
0 NA 0 0 8 29 -60.4909 41.0204 34.76 971.6 57.7 167.6
0 NA 0 0 8 30 -59.0581 42.2012 34.26 971.95 58.9 162.2
0 NA 0 0 8 31 -57.471 43.4359 33.78 972.43 60.0 156.9
0 NA 0 0 8 32 -55.7614 44.684 33.31 972.61 61.2 151.6
0 NA 0 0 8 33 -54.2631 45.8755 20.2 990.85 62.4 87.9
1 NA 0 1 8 0 -87.4517 26.2245 36.91 978.77 47.2 110.4
1 NA 0 1 8 1 -87.4831 26.7992 35.4 980.73 49.1 113.8
1 NA 0 1 8 2 -87.5294 27.3589 34.02 982.5 50.9 117.1
1 NA 0 1 8 3 -87.6033 27.8485 32.73 984.09 52.8 120.5
1 NA 0 1 8 4 -87.7071 28.2933 31.54 985.5 54.6 123.8
1 NA 0 1 8 5 -87.8459 28.733 30.43 986.8 56.5 127.1
1 NA 0 1 8 6 -87.9848 29.1276 29.4 987.98 58.3 130.5
1 NA 0 1 8 7 -88.0514 29.4896 28.44 989.08 60.2 133.8
1 NA 0 1 8 8 -88.1625 29.762 27.53 990.04 62.1 137.1
1 NA 0 1 8 9 -88.3836 29.9389 26.69 991.0 63.9 140.5
1 NA 0 1 8 10 -88.7402 29.9964 25.89 991.86 65.8 143.8
1 NA 0 1 8 11 -89.2646 29.9365 25.14 992.67 67.6 147.2
1 NA 0 1 8 12 -89.8179 29.8307 24.43 993.75 67.6 140.0
1 NA 0 1 8 13 -90.2296 29.745 23.76 994.81 67.6 131.7
1 NA 0 1 8 14 -90.5956 29.7651 21.57 998.24 67.6 106.7
