#tcid basin year tc month timestep lon lat vmax pmin rmw r18
3261 NI 0 0 5 0 93.2956 18.2348 70.65 918.95 6.0 44.0
3261 NI 0 0 5 1 93.802 18.5748 70.3 918.94 10.9 66.8
3261 NI 0 0 5 2 94.284 18.8563 69.95 919.0 15.8 89.6
3261 NI 0 0 5 3 94.8889 19.1983 69.61 918.15 20.7 112.5
3261 NI 0 0 5 4 95.6837 19.6863 51.01 949.56 25.6 135.3
3261 NI 0 0 5 5 96.7738 20.4439 40.25 968.3 30.5 158.1
3261 NI 0 0 5 6 97.6177 21.142 33.24 976.76 35.4 180.9
3261 NI 0 0 5 7 98.4552 21.8582 28.31 981.57 40.3 203.7
3261 NI 0 0 5 8 99.2918 22.5778 24.65 986.34 45.2 212.7
3261 NI 0 0 5 9 100.1938 23.3007 21.83 992.6 45.2 122.8
3261 NI 0 0 5 10 101.0979 24.0111 19.59 996.62 45.2 75.3
3261 NI 0 0 5 11 102.0049 24.7086 17.77 999.02 45.2 48.4
3262 NI 0 1 6 0 70.1259 22.555 50.77 936.35 29.6 342.4
3262 NI 0 1 6 1 70.7721 23.092 48.48 940.88 42.5 291.6
3262 NI 0 1 6 2 71.1546 23.6227 46.39 945.02 55.3 240.8
3262 NI 0 1 6 3 71.724 24.1032 28.78 971.31 68.2 190.0
3262 NI 0 1 6 4 72.4205 24.5332 20.86 984.36 68.2 112.9
3263 NI 0 2 11 0 88.5506 18.1948 66.38 927.64 37.2 181.5
3263 NI 0 2 11 1 88.5625 18.9128 64.14 931.78 40.6 177.7
3263 NI 0 2 11 2 88.6337 19.8809 62.04 935.66 43.9 173.9
3263 NI 0 2 11 3 89.0527 20.5953 60.07 939.07 47.3 170.1
3263 NI 0 2 11 4 89.7882 21.5599 58.22 942.24 50.7 166.2
3263 NI 0 2 11 5 90.2541 22.5611 56.49 945.15 54.1 162.4
3263 NI 0 2 11 6 90.3999 22.9198 54.85 947.89 57.5 158.6
3263 NI 0 2 11 7 90.8914 23.7212 38.88 972.57 60.9 154.8
3263 NI 0 2 11 8 91.3511 24.5027 30.12 984.7 64.2 151.0
3263 NI 0 2 11 9 91.8349 25.2679 24.58 994.37 67.6 141.8
3263 NI 0 2 11 10 92.3483 26.0169 20.76 999.52 67.6 98.1
3263 NI 0 2 11 11 92.8903 26.7515 17.97 1003.25 67.6 71.6
3264 NI 1 0 10 0 70.3552 15.5696 76.23 906.14 9.5 195.4
3264 NI 1 0 10 1 70.3946 16.2378 71.48 915.08 10.5 191.1
3264 NI 1 0 10 2 70.4264 16.846 67.28 922.82 11.4 186.7
3264 NI 1 0 10 3 70.4795 17.238 63.55 929.56 12.3 182.4
3264 NI 1 0 10 4 70.5476 17.5225 60.21 935.45 13.3 178.1
3264 NI 1 0 10 5 70.5095 18.0512 57.21 940.6 14.2 173.8
3264 NI 1 0 10 6 70.4687 18.5989 54.49 945.17 15.1 169.5
3264 NI 1 0 10 7 70.5567 18.8708 52.01 949.3 16.1 165.2
3264 NI 1 0 10 8 70.6899 19.0753 49.76 952.99 17.0 160.9
3264 NI 1 0 10 9 70.8042 19.3571 47.69 956.34 17.9 156.6
3264 NI 1 0 10 10 70.911 19.7017 45.78 959.27 18.9 152.2
3264 NI 1 0 10 11 71.0078 20.1224 44.02 961.99 19.8 147.9
3264 NI 1 0 10 12 71.0822 20.2781 42.39 964.53 20.7 143.6
3264 NI 1 0 10 13 71.1253 20.4276 40.88 966.86 21.7 139.3
3264 NI 1 0 10 14 71.1533 20.5545 39.47 969.02 22.6 135.0
3264 NI 1 0 10 15 71.1814 20.654 38.16 971.14 23.5 130.7
3264 NI 1 0 10 16 71.2245 20.731 36.93 973.0 24.5 126.4
3264 NI 1 0 10 17 71.3026 20.7979 35.78 974.74 25.4 122.1
