#tcid basin year tc month timestep lon lat vmax pmin rmw r18
3818 SI 50 0 2 0 65.7473 -12.8386 36.68 992.07 39.4 102.8
3818 SI 50 0 2 1 65.6954 -12.8319 35.26 993.89 39.1 108.7
3818 SI 50 0 2 2 65.6585 -12.8551 33.95 995.53 38.7 114.6
3818 SI 50 0 2 3 65.6058 -12.9201 32.73 996.99 38.4 120.5
3818 SI 50 0 2 4 65.603 -13.005 31.6 998.34 38.1 126.3
3818 SI 50 0 2 5 65.6853 -13.0849 30.54 999.56 37.8 132.2
3818 SI 50 0 2 6 65.8475 -13.1548 29.55 1000.69 37.5 138.1
3818 SI 50 0 2 7 66.0465 -13.2064 28.62 1001.72 37.1 143.9
3818 SI 50 0 2 8 66.3254 -13.238 27.75 1002.68 36.8 149.8
3818 SI 50 0 2 9 66.6794 -13.2488 26.93 1003.56 36.5 155.7
3818 SI 50 0 2 10 67.1032 -13.2545 26.16 1004.37 36.2 161.5
3818 SI 50 0 2 11 67.5556 -13.2644 25.43 1005.12 35.9 167.4
3818 SI 50 0 2 12 68.0478 -13.3044 24.74 1006.04 35.6 165.5
3818 SI 50 0 2 13 68.55 -13.405 24.09 1007.4 35.6 146.9
3818 SI 50 0 2 14 69.0923 -13.5209 23.47 1008.63 35.6 130.9
3818 SI 50 0 2 15 69.6704 -13.6106 22.88 1009.74 35.6 116.9
3818 SI 50 0 2 16 70.3034 -13.6708 22.32 1010.78 35.6 104.8
3818 SI 50 0 2 17 71.0165 -13.7042 21.79 1011.74 35.6 94.1
3818 SI 50 0 2 18 71.7146 -13.6873 21.28 1012.65 35.6 84.7
3818 SI 50 0 2 19 72.2825 -13.6475 20.8 1013.49 35.6 76.5
3818 SI 50 0 2 20 72.8258 -13.5038 20.33 1014.3 35.6 69.2
3818 SI 50 0 2 21 73.4935 -13.2198 19.89 1015.05 35.6 62.8
3818 SI 50 0 2 22 74.0703 -12.8203 19.46 1015.78 35.6 57.0
3818 SI 50 0 2 23 74.4457 -12.3403 19.06 1016.5 35.6 51.9
3818 SI 50 0 2 24 74.8082 -11.9102 18.67 1017.19 35.6 47.4
3818 SI 50 0 2 25 75.0518 -11.5257 18.29 1017.84 35.6 43.3
3818 SI 50 0 2 26 75.2927 -11.32 17.93 1018.43 35.6 39.6
3818 SI 50 0 2 27 75.8067 -11.8405 17.59 1018.79 35.6 36.4
3819 SI 50 1 10 0 91.4818 -18.6311 33.0 989.3 9.3 39.0
3819 SI 50 1 10 1 91.5994 -18.9929 28.52 994.68 13.8 69.7
3819 SI 50 1 10 2 91.713 -19.3831 25.11 998.44 18.3 100.5
