#tcid basin year tc month timestep lon lat vmax pmin rmw r18
4460 SP 50 0 2 0 161.3369 -23.1126 37.48 963.19 56.3 250.2
4460 SP 50 0 2 1 161.3921 -23.4625 34.67 966.62 56.3 274.4
4460 SP 50 0 2 2 161.4702 -23.8385 32.25 969.15 56.3 298.6
4460 SP 50 0 2 3 161.5599 -24.2425 30.15 971.49 56.3 322.7
4460 SP 50 0 2 4 161.7145 -24.635 28.3 973.45 56.4 346.9
4460 SP 50 0 2 5 161.9543 -25.0096 26.67 975.06 56.4 371.1
4460 SP 50 0 2 6 162.2785 -25.3088 25.21 976.14 56.4 395.3
4460 SP 50 0 2 7 162.6687 -25.4961 23.91 980.57 56.4 309.6
4460 SP 50 0 2 8 163.1001 -25.5845 22.73 984.18 56.4 235.1
4460 SP 50 0 2 9 163.5097 -25.6051 21.66 987.06 56.4 180.9
4460 SP 50 0 2 10 163.9424 -25.5748 20.69 989.41 56.4 140.8
4460 SP 50 0 2 11 164.4253 -25.5593 19.81 991.35 56.4 110.9
4460 SP 50 0 2 12 164.9432 -25.4827 18.99 992.99 56.4 88.2
4460 SP 50 0 2 13 165.4628 -25.291 18.24 994.1 56.4 70.8
4460 SP 50 0 2 14 166.0173 -25.0609 17.55 995.36 56.4 57.3
4461 SP 50 1 11 0 168.9666 -12.9851 78.04 902.47 13.7 258.2
4461 SP 50 1 11 1 169.1734 -13.2019 73.52 911.24 14.2 254.2
4461 SP 50 1 11 2 169.335 -13.4187 69.49 918.97 14.8 250.2
4461 SP 50 1 11 3 169.4067 -13.7205 65.89 925.59 15.4 246.2
4461 SP 50 1 11 4 169.4034 -14.0524 62.64 931.55 15.9 242.2
4461 SP 50 1 11 5 169.3676 -14.3917 59.69 936.87 16.5 238.2
4461 SP 50 1 11 6 169.2718 -14.686 57.01 941.47 17.1 234.2
4461 SP 50 1 11 7 169.1135 -14.8754 54.56 945.81 17.7 230.2
4461 SP 50 1 11 8 168.9402 -15.0197 52.31 949.57 18.2 226.2
4461 SP 50 1 11 9 168.8168 -15.1715 50.24 952.99 18.8 222.2
4461 SP 50 1 11 10 168.7086 -15.3533 48.33 956.08 19.4 218.2
4461 SP 50 1 11 11 168.6077 -15.6201 46.56 959.1 19.9 214.2
4461 SP 50 1 11 12 168.4769 -15.887 44.91 961.9 20.5 210.2
4461 SP 50 1 11 13 168.2761 -16.0613 43.37 964.48 21.1 206.2
4461 SP 50 1 11 14 168.0453 -16.2206 41.94 966.7 21.6 202.2
4461 SP 50 1 11 15 167.7846 -16.4375 40.6 968.87 22.2 198.2
4461 SP 50 1 11 16 167.6137 -16.6543 39.34 970.78 22.8 194.2
4461 SP 50 1 11 17 167.6453 -16.8286 38.16 972.56 23.4 190.2
4461 SP 50 1 11 18 167.7821 -16.9879 37.05 974.32 23.9 186.1
4461 SP 50 1 11 19 167.9087 -17.1772 35.99 975.91 24.5 182.1
4461 SP 50 1 11 20 168.0505 -17.3216 35.0 977.38 25.1 178.1
4461 SP 50 1 11 21 168.1922 -17.3909 34.06 979.04 25.6 174.1
4461 SP 50 1 11 22 168.3189 -17.3552 33.17 980.13 26.2 170.1
4461 SP 50 1 11 23 168.4482 -17.202 32.33 981.43 26.8 166.1
4461 SP 50 1 11 24 168.4872 -16.9888 31.53 982.68 27.4 162.1
4461 SP 50 1 11 25 168.3438 -16.7982 30.76 983.76 27.9 158.1
4461 SP 50 1 11 26 168.1556 -16.6225 30.03 984.89 28.5 154.1
4461 SP 50 1 11 27 168.0598 -16.4818 29.34 985.95 29.1 150.1
4461 SP 50 1 11 28 168.024 -16.3561 28.68 986.83 29.6 146.1
4461 SP 50 1 11 29 168.0282 -16.2229 28.04 987.8 30.2 142.1
4461 SP 50 1 11 30 168.0924 -16.0898 27.44 988.73 30.8 138.1
4461 SP 50 1 11 31 168.2116 -15.9566 26.86 989.62 31.3 134.1
4461 SP 50 1 11 32 168.3608 -15.8234 26.3 990.24 31.9 130.1
4461 SP 50 1 11 33 168.445 -15.6902 25.77 990.92 32.5 126.1
4461 SP 50 1 11 34 168.5358 -15.5615 25.25 991.72 33.1 122.1
4461 SP 50 1 11 35 168.6332 -15.4372 24.76 992.6 33.6 114.2
4461 SP 50 1 11 36 168.7372 -15.3173 24.29 993.23 33.6 106.6
4461 SP 50 1 11 37 168.8478 -15.2019 23.83 994.03 33.6 99.8
4461 SP 50 1 11 38 168.965 -15.0908 23.39 994.77 33.6 93.4
4461 SP 50 1 11 39 169.0876 -14.9854 22.97 995.49 33.6 87.6
4461 SP 50 1 11 40 169.2165 -14.8846 22.56 996.17 33.6 82.3
4461 SP 50 1 11 41 169.3518 -14.7883 22.17 996.64 33.6 77.3
4461 SP 50 1 11 42 169.4733 -14.6957 21.79 997.26 33.6 72.7
4461 SP 50 1 11 43 169.599 -14.6075 21.42 997.85 33.6 68.5
4461 SP 50 1 11 44 169.7286 -14.5237 21.06 998.41 33.6 64.6
4461 SP 50 1 11 45 169.8623 -14.4443 20.72 998.95 33.6 61.0
4461 SP 50 1 11 46 170.0 -14.3693 20.39 999.31 33.6 57.6
4461 SP 50 1 11 47 170.1398 -14.3001 20.06 999.8 33.6 54.4
4461 SP 50 1 11 48 170.2834 -14.2354 19.75 1000.28 33.6 51.5
4461 SP 50 1 11 49 170.4308 -14.1751 19.45 1000.74 33.6 48.8
4461 SP 50 1 11 50 170.5821 -14.1192 19.16 1001.17 33.6 46.2
4461 SP 50 1 11 51 170.737 -14.0676 18.87 1001.59 33.6 43.9
4461 SP 50 1 11 52 170.8957 -14.0204 18.59 1002.0 33.6 41.6
4461 SP 50 1 11 53 171.0556 -13.9785 18.33 1002.38 33.6 39.6
4461 SP 50 1 11 54 171.2191 -13.941 18.07 1002.76 33.6 37.6
4461 SP 50 1 11 55 171.3861 -13.9077 17.81 1003.12 33.6 35.8
4461 SP 50 1 11 56 171.5566 -13.8786 17.57 1003.47 33.6 34.1
4462 SP 50 2 1 0 166.2426 -19.4392 71.61 904.97 25.3 527.7
4462 SP 50 2 1 1 166.9277 -20.2754 66.31 915.09 25.9 515.5
4462 SP 50 2 1 2 167.6417 -21.2043 61.74 923.82 26.5 503.3
4462 SP 50 2 1 3 168.6623 -21.9116 57.76 931.37 27.1 491.1
4462 SP 50 2 1 4 169.6907 -22.5195 54.27 937.72 27.7 478.9
4462 SP 50 2 1 5 170.4764 -23.0874 51.17 943.29 28.3 466.7
4462 SP 50 2 1 6 171.1398 -23.6346 48.4 948.2 28.9 454.5
4462 SP 50 2 1 7 171.7336 -24.13 45.92 952.6 29.5 442.3
4462 SP 50 2 1 8 172.3889 -24.7998 43.69 956.53 30.1 430.1
4462 SP 50 2 1 9 173.3538 -25.859 41.66 960.32 30.8 417.9
4462 SP 50 2 1 10 174.3013 -27.0616 39.81 964.05 31.4 405.7
4462 SP 50 2 1 11 174.9203 -28.2162 38.11 967.2 32.0 393.5
4462 SP 50 2 1 12 175.3101 -29.3455 36.56 970.12 32.6 381.3
4462 SP 50 2 1 13 175.6351 -30.4673 35.13 973.04 33.2 369.0
4462 SP 50 2 1 14 175.7194 -31.2786 33.8 975.31 33.8 356.8
4462 SP 50 2 1 15 175.5043 -31.7363 32.57 977.47 34.4 344.6
4462 SP 50 2 1 16 175.1518 -31.8938 31.43 979.54 35.0 332.4
4462 SP 50 2 1 17 174.8911 -31.9046 30.37 981.32 35.6 320.2
4462 SP 50 2 1 18 174.6509 -31.7756 29.37 982.84 36.2 308.0
4462 SP 50 2 1 19 174.419 -31.674 28.44 984.44 36.8 295.8
4462 SP 50 2 1 20 174.2166 -31.4574 27.56 985.99 37.4 283.6
4462 SP 50 2 1 21 174.0918 -31.0622 26.74 987.28 38.0 271.4
4462 SP 50 2 1 22 173.9424 -30.6059 25.97 988.48 38.6 259.2
4462 SP 50 2 1 23 173.5429 -30.1367 25.24 989.62 39.2 247.0
4462 SP 50 2 1 24 173.0415 -29.6211 24.55 990.99 39.2 224.7
4462 SP 50 2 1 25 172.6081 -29.0379 23.89 992.51 39.2 195.4
4462 SP 50 2 1 26 172.5805 -28.5362 23.27 993.82 39.2 170.6
4462 SP 50 2 1 27 172.2401 -28.0188 22.68 994.98 39.2 149.5
4462 SP 50 2 1 28 171.9174 -27.5118 22.12 996.01 39.2 131.4
4462 SP 50 2 1 29 171.6118 -27.0156 21.59 996.92 39.2 115.9
4462 SP 50 2 1 30 171.3231 -26.5301 21.08 997.72 39.2 102.5
4462 SP 50 2 1 31 171.0502 -26.0562 20.6 998.43 39.2 90.9
4462 SP 50 2 1 32 170.794 -25.5931 20.13 999.07 39.2 80.8
