#tcid basin year tc month timestep lon lat vmax pmin rmw r18
1517 WP 50 0 8 0 170.6987 28.9405 37.85 984.56 34.6 95.6
1517 WP 50 0 8 1 171.1857 29.5234 37.14 985.55 36.8 99.9
1517 WP 50 0 8 2 171.5974 30.0841 36.45 986.5 39.0 104.3
1517 WP 50 0 8 3 171.9307 30.5419 35.79 987.42 41.2 108.7
1517 WP 50 0 8 4 172.2961 30.9778 35.16 988.18 43.4 113.1
1517 WP 50 0 8 5 172.8687 31.4375 34.54 989.01 45.6 117.5
1517 WP 50 0 8 6 173.4197 31.9714 33.95 989.93 47.8 121.9
1517 WP 50 0 8 7 173.7783 32.6474 33.38 990.56 50.0 126.2
1517 WP 50 0 8 8 173.9684 33.3651 32.82 991.23 52.2 130.6
1517 WP 50 0 8 9 173.9746 34.0182 32.29 991.73 54.4 135.0
1517 WP 50 0 8 10 173.967 34.6337 31.77 992.18 56.7 139.4
1517 WP 50 0 8 11 174.1771 35.1943 31.27 992.61 58.9 143.8
1517 WP 50 0 8 12 174.4407 35.7773 30.78 993.14 61.1 148.1
1517 WP 50 0 8 13 174.6264 36.511 30.31 993.47 63.3 152.5
1517 WP 50 0 8 14 174.7894 37.196 29.85 993.73 65.5 156.9
1517 WP 50 0 8 15 174.9328 37.6615 29.41 994.18 67.7 161.3
1517 WP 50 0 8 16 175.1114 38.0213 28.98 994.55 69.9 165.7
1517 WP 50 0 8 17 175.4123 38.332 28.56 994.98 72.1 170.1
1517 WP 50 0 8 18 175.7348 38.7179 28.15 995.24 74.3 174.4
1517 WP 50 0 8 19 175.9494 39.4259 27.76 995.55 76.5 178.8
1518 WP 50 1 8 0 131.9094 31.4037 51.29 952.99 22.7 91.2
1518 WP 50 1 8 1 131.3057 31.8552 48.88 957.25 24.0 102.2
1518 WP 50 1 8 2 130.7099 32.4629 46.69 960.14 25.3 113.2
1518 WP 50 1 8 3 130.1934 32.9917 42.11 965.85 26.6 124.1
1518 WP 50 1 8 4 129.8604 33.547 38.35 970.71 28.0 135.1
1518 WP 50 1 8 5 129.6395 34.1497 35.21 974.69 29.3 146.1
1518 WP 50 1 8 6 129.4609 34.8061 32.54 977.96 30.6 157.0
1518 WP 50 1 8 7 129.1785 35.5414 31.56 979.24 31.9 168.0
1518 WP 50 1 8 8 128.9614 36.2652 30.63 980.35 33.2 179.0
1518 WP 50 1 8 9 128.9443 36.8909 27.52 984.36 34.5 189.9
1518 WP 50 1 8 10 129.0219 37.456 24.98 986.99 35.8 200.1
1518 WP 50 1 8 11 129.0607 37.9741 22.87 990.72 35.8 130.6
1519 WP 50 2 7 0 112.9475 21.7198 48.03 941.55 51.5 224.6
1519 WP 50 2 7 1 112.5103 22.0893 43.92 948.11 51.9 211.4
1519 WP 50 2 7 2 111.9676 22.4405 40.46 953.8 52.3 198.2
1519 WP 50 2 7 3 111.2903 22.7847 31.14 966.93 52.7 184.9
1519 WP 50 2 7 4 110.5376 23.0613 25.3 974.63 53.1 171.7
1519 WP 50 2 7 5 109.8068 23.2412 21.31 980.87 53.1 101.5
1519 WP 50 2 7 6 109.0577 23.3321 18.41 985.25 53.1 62.7
1520 WP 50 3 8 0 128.6969 27.5145 49.67 957.39 5.0 49.0
1520 WP 50 3 8 1 128.6387 28.1957 40.79 970.17 13.8 75.1
1520 WP 50 3 8 2 128.7197 28.8484 34.6 978.16 22.5 101.3
1520 WP 50 3 8 3 128.9912 29.5234 30.04 983.61 31.3 127.4
1520 WP 50 3 8 4 129.4175 30.2823 26.55 987.49 40.0 153.5
1520 WP 50 3 8 5 129.8202 31.1162 23.78 991.01 48.8 149.6
1520 WP 50 3 8 6 130.3904 31.9912 21.53 995.97 48.8 104.1
1520 WP 50 3 8 7 131.1451 32.8445 19.68 999.93 48.8 74.9
1520 WP 50 3 8 8 132.0748 33.6168 19.15 999.2 48.8 67.8
1520 WP 50 3 8 9 133.2871 34.3229 18.64 1000.15 48.8 61.5
1521 WP 50 4 7 0 124.1082 18.4514 52.12 929.36 18.5 504.6
1521 WP 50 4 7 1 123.8749 18.9094 51.65 930.54 18.4 484.5
1521 WP 50 4 7 2 123.6112 19.4198 51.19 931.77 18.3 464.5
1521 WP 50 4 7 3 123.2533 20.0054 50.73 932.89 18.2 444.5
1521 WP 50 4 7 4 122.9032 20.609 50.29 934.05 18.2 424.4
1521 WP 50 4 7 5 122.6507 21.1496 49.85 935.06 18.1 404.4
1521 WP 50 4 7 6 122.4615 21.6913 49.42 936.14 18.0 384.4
1521 WP 50 4 7 7 122.306 22.2391 49.0 937.06 17.9 364.3
1521 WP 50 4 7 8 122.1783 22.8866 48.58 938.03 17.8 344.3
1521 WP 50 4 7 9 122.0583 23.741 48.17 939.02 17.7 324.2
1521 WP 50 4 7 10 121.9097 24.6464 47.77 939.99 17.6 304.2
1521 WP 50 4 7 11 121.6494 25.4545 47.38 940.76 17.6 284.2
1521 WP 50 4 7 12 121.4334 26.1842 46.99 941.66 17.5 264.1
1521 WP 50 4 7 13 121.3707 26.7961 46.6 942.4 17.4 244.1
1521 WP 50 4 7 14 121.4589 27.417 46.23 943.56 17.3 224.1
1521 WP 50 4 7 15 121.7252 28.2062 45.86 944.3 17.2 204.0
1521 WP 50 4 7 16 122.1529 29.1552 45.49 945.17 17.1 184.0
1521 WP 50 4 7 17 122.7562 30.3115 45.14 946.09 17.1 164.0
1521 WP 50 4 7 18 123.3159 31.5006 44.78 947.16 17.0 143.9
1521 WP 50 4 7 19 123.7802 32.5215 27.16 972.49 16.9 123.9
1522 WP 50 5 10 0 126.2028 22.5796 52.34 951.9 35.9 244.2
1522 WP 50 5 10 1 125.4252 22.7218 49.03 957.82 35.1 235.4
1522 WP 50 5 10 2 124.613 22.8431 46.12 962.83 34.2 226.6
1522 WP 50 5 10 3 123.8629 22.9812 43.53 967.25 33.4 217.7
1522 WP 50 5 10 4 123.0983 23.1816 41.22 971.4 32.5 208.9
1522 WP 50 5 10 5 122.183 23.3981 39.14 975.11 31.7 200.1
1522 WP 50 5 10 6 121.3585 23.6451 37.26 980.79 30.8 191.3
1522 WP 50 5 10 7 120.7471 23.7089 35.55 980.03 30.0 182.4
1522 WP 50 5 10 8 120.1938 23.7586 32.97 983.52 29.1 173.6
1522 WP 50 5 10 9 119.6552 23.8317 30.74 987.26 28.3 164.8
1522 WP 50 5 10 10 119.129 23.9471 29.57 989.52 27.4 156.0
1522 WP 50 5 10 11 118.5771 24.1149 28.48 991.58 26.5 147.1
1522 WP 50 5 10 12 118.0159 24.3405 27.47 993.85 25.7 138.3
1522 WP 50 5 10 13 117.4465 24.5986 26.53 995.54 24.8 129.5
1522 WP 50 5 10 14 116.8631 24.8968 21.8 1003.65 24.8 68.7
1522 WP 50 5 10 15 116.2699 25.2035 18.51 1009.26 24.8 32.2
1523 WP 50 6 8 0 128.6162 30.7255 59.03 934.64 21.9 314.3
1523 WP 50 6 8 1 128.171 30.8304 57.09 937.9 23.3 310.0
1523 WP 50 6 8 2 127.7062 30.992 55.28 940.9 24.7 305.7
1523 WP 50 6 8 3 127.207 31.2033 53.58 943.72 26.0 301.4
1523 WP 50 6 8 4 126.7538 31.4131 51.98 946.28 27.4 297.2
1523 WP 50 6 8 5 126.4072 31.5522 50.48 948.79 28.8 292.9
1523 WP 50 6 8 6 126.1456 31.6723 49.06 951.09 30.1 288.6
1523 WP 50 6 8 7 125.9346 31.818 47.71 953.29 31.5 284.3
1523 WP 50 6 8 8 125.7714 31.9607 46.44 955.24 32.9 280.0
1523 WP 50 6 8 9 125.577 32.0422 45.24 957.2 34.2 275.7
1523 WP 50 6 8 10 125.4617 32.1876 44.09 959.1 35.6 271.4
1523 WP 50 6 8 11 125.4785 32.4979 43.01 960.8 37.0 267.2
1523 WP 50 6 8 12 125.6291 32.9083 41.97 962.47 38.3 262.9
1523 WP 50 6 8 13 125.8298 33.2927 40.98 964.04 39.7 258.6
1523 WP 50 6 8 14 126.2273 33.7801 40.04 965.67 41.1 254.3
1523 WP 50 6 8 15 126.9128 34.4344 39.14 967.36 42.4 250.0
1523 WP 50 6 8 16 127.7551 35.2065 38.28 969.74 43.8 245.7
1523 WP 50 6 8 17 128.5328 36.0154 37.46 970.44 45.2 241.4
1523 WP 50 6 8 18 129.3757 36.9 34.84 973.83 46.5 237.1
1523 WP 50 6 8 19 130.4728 37.7897 32.56 976.87 47.9 232.9
1523 WP 50 6 8 20 131.8471 38.6521 19.75 997.64 49.3 82.9
1524 WP 50 7 11 0 133.3133 13.4409 70.4 922.94 39.5 309.7
1524 WP 50 7 11 1 132.5534 13.218 66.96 929.55 41.3 301.2
1524 WP 50 7 11 2 131.7949 13.0497 63.85 935.3 43.1 292.7
1524 WP 50 7 11 3 131.0161 12.8956 61.01 940.57 44.9 284.2
1524 WP 50 7 11 4 130.2445 12.7748 58.41 945.33 46.8 275.7
1524 WP 50 7 11 5 129.5298 12.6548 56.02 949.64 48.6 267.2
1524 WP 50 7 11 6 128.7611 12.5992 53.82 953.46 50.4 258.7
1524 WP 50 7 11 7 127.8126 12.6227 51.79 957.07 52.2 250.2
1524 WP 50 7 11 8 126.8558 12.7486 49.9 960.52 54.0 241.7
1524 WP 50 7 11 9 126.0418 12.9923 48.15 963.55 55.9 233.2
1524 WP 50 7 11 10 125.3238 13.2702 46.52 966.56 57.7 224.7
1524 WP 50 7 11 11 124.6839 13.4607 44.99 969.24 59.5 216.2
1524 WP 50 7 11 12 124.067 13.6425 43.56 971.94 61.3 207.7
1524 WP 50 7 11 13 123.372 13.852 42.22 974.36 63.1 199.2
1524 WP 50 7 11 14 122.6617 14.1052 38.48 980.07 65.0 190.7
1524 WP 50 7 11 15 121.9452 14.4205 35.35 984.86 66.8 182.2
1524 WP 50 7 11 16 121.2982 14.7564 32.69 989.22 68.6 173.7
1524 WP 50 7 11 17 120.7497 15.0665 31.93 989.98 70.4 165.2
1524 WP 50 7 11 18 120.3399 15.3616 30.53 992.56 72.2 156.7
1524 WP 50 7 11 19 120.045 15.6393 29.26 994.0 74.1 148.1
